序号,题目,主体类型,人物运动,能力专项,非人运动,Prompt类型,镜头语言,英文,prompt字数,题目来源,视频URL
11,"镜头1
一台工业机械臂在流水线上快速抓起一块金属零件，转动手腕后放到传送带上。传送带持续运行，两侧多个滚轮同步转动，后方另一台机械臂正在焊接，焊花四溅，镜头跟随主机械臂平滑移动。
镜头2
镜头切到侧前方，零件沿传送带前进，经过检测装置时指示灯亮起，分拣机械臂迅速伸出将零件夹起并放入料箱。传送带、滚轮、机械臂和背景设备持续协同运转，焊花、指示灯、金属反光和轻微震动同步变化，整体动作连贯，符合真实机械传动和物理规律。",物体,,多个体/群体画面,刚体位移,分镜脚本,"运镜,多镜头",中文,208,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0010.mp4
12,超写实电影质感，4K，杜比视界色彩，自然光照，中景固定镜头 男士身着卡其冲锋衣搭橄榄抓绒内搭，配深灰工装裤、黑登山靴，背负军绿登山包并系战术腰封，全套专业户外工装穿搭。他来到沙滩树下盘腿坐地，演示“弓钻取火”——快速拉动弓弦，钻头冒烟，黑炭火种落入干棕榈纤维，他轻轻吹气，“呼”的一声烟从棕榈纤维蹿起。棕榈纤维中透出火星的光点，他小心翼翼捧起火绒凑近镜头，笑着介绍“耐心一点火种很快就有了”,人物,精细操作,画面构图,,专业影视语言,,中文,195,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0011.mp4
13,"Close-up shot of a model wearing a bohemian-style linen dress. The shot must fully showcase the model's blue eyes, sculpted features, and fair skin, while revealing the fabric's textured folds.",人物,,材质质感,,叙述性描述,,英文,30,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0012.mp4
14,"Macro shot of a silversmith forging, texture details, finished piece examination.","人物,物体",精细操作,材质质感,,叙述性描述,,英文,11,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0013.mp4
15,"Children at the beach building a sandcastle — digging sand into buckets, planting a flag on top, fetching water to fill the moat, clapping and cheering when finished.",人物,日常行为,,,日常白话,,英文,28,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0014.mp4
16,"Shot Prompts
Shot 1
An aerial shot moves through a valley shrouded in morning mist, with a winding river flowing below and distant snow-capped mountains dimly visible. Thin fog drifts slowly across the scene.

Shot 2
The camera dives into the valley, skimming over a pine forest and a streaming creek. Leaves sway gently in the breeze, light ripples form on the water's surface, and a few birds dart through the trees.

Shot 3
The camera emerges from the forest to reveal a lakeside view. The lake reflects the surrounding mountains and sky; a gentle gust creates cascading ripples on the water while reeds along the shore sway softly.

Shot 4
The camera slowly rises and pulls back, revealing the full spatial depth of the valley, lake, forest, and snow-capped peaks. Clouds and mist flow lazily between the mountains, and the frame freezes on a sweeping wide panorama.",自然景观,,,流体/软体,分镜脚本,"运镜,多镜头,时间操控",英文,140,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0015.mp4
17,"A baby sea turtle slowly crawls from the sandy beach toward the ocean, leaving a trail of tiny tracks. It then passes through crystal-clear waters with colorful coral reefs, joins a school of tropical fish swimming together, and finally reaches the deep blue open sea to roam freely.",动物,,,动物运动,日常白话,,英文,48,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0016.mp4
18,阳台花盆边，一只橘色小猫发现了一只蝴蝶。第一个镜头是小猫蹲着歪头盯着蝴蝶看，尾巴轻轻摇晃。第二个镜头拍它试探着伸出爪子去够，蝴蝶却飞走了。第三个镜头是小猫跳上窗台继续追，尾巴竖得直直的。第四个镜头蝴蝶停在了小猫鼻尖上，它一动不动对着眼看,动物,,,动物运动,分镜脚本,多镜头,中文,118,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0017.mp4
19,"第1个镜头[0-2秒] 有着一头红色卷发的年轻女巫身穿红色花纹长袍，骑着一把木扫帚在天空中向前飞行。风吹动她的红发和衣摆。音效：呼呼的风声，扫帚划破空气的摩擦声。无字幕，无背景音乐。

第2个镜头[2-4秒]硬切，俯视全景，对应的蓝色树林和山脉环境。透过粉色的云层，下方蓝色的山坡上，一个长着鹿角、穿着蓝色破旧长袍的老山羊正在缓慢向上走。音效：高空的风声，微弱的树叶沙沙声。无字幕，无背景音乐。

第3个镜头[4-6秒]硬切，全景。女巫骑着扫帚快速从空中俯冲而下，降落在老山羊面前的泥地上，双脚落地，扫帚停在身侧。老山羊停下脚步看着她。音效：扫帚快速降落的尖锐风声，双脚踩在泥地上的沉闷落地声。无字幕，无背景音乐。

第4个镜头[6-9秒]硬切，中近景。女巫看着老山羊，面带微笑，开口说：“Hello there! Need a lift?” 音效：女巫清脆的说话声，周围树叶的微风摩擦声。无字幕，无背景音乐。

第5个镜头[9-11秒]硬切，特写。老山羊有点疑惑看着她说“yes？”，跟随老山羊的目光，女巫迅速侧过身，右手拍了拍扫帚的后半部分，示意他坐上来。音效：衣物摩擦声，手掌拍打木头扫帚的啪啪声。无字幕，无背景音乐。

第6个镜头[11-13秒]硬切，中景。老山羊缓慢抬起腿跨上扫帚，坐在女巫身后，女巫也跨在扫帚上，双手握紧扫帚前端。音效：布料摩擦声，木头扫帚受力发出的轻微嘎吱声。无字幕，无背景音乐。

第7个镜头[13-15秒]硬切，远景。女巫双脚蹬地，扫帚猛地向上窜起，载着女巫和老山羊飞向蓝色的树林上空，两人的身影在空中迅速变小。音效：双脚用力蹬地的摩擦声，扫帚起飞时强烈的破空风声。无字幕，无背景音乐。","人物,动物",社会互动,属性绑定,,分镜脚本,多镜头,中文,710,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0018.mp4
20,"Shot 1 uses top-side lighting, focusing on the dancer's pointe touching the floor. Shot 2 switches to a wide-aperture medium shot as the dancer spins, skirt flowing. Shot 3 uses backlighting to silhouette the dancer leaping. Shot 4 is a frontal close-up capturing the details of sweat beads on the face.",人物,表演艺术,画面构图,,分镜脚本,多镜头,英文,51,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0019.mp4
21,"In the community plaza below an apartment complex, several women dance in formation. Shot 1: wide shot of their synchronized movements to music. Shot 2: push in on the lead dancer's focused expression and hand gestures. Shot 3: cut to elderly men sitting nearby watching and chatting. Shot 4: a little girl at the back clumsily imitating the moves. Shot 5: back to wide shot — the music climaxes as everyone turns and claps together.",人物,表演艺术,多个体/群体画面,,分镜脚本,"运镜,多镜头",英文,75,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0020.mp4
22,"A skateboarder charges down a ramp. The camera clings to the ground with a low-angle fisheye lens tracking shot — intense sense of speed. The skater launches into the air, the camera rapidly orbits and shifts to slow motion capturing the full aerial trick. The instant of landing returns to normal speed, the camera continues stable tracking as the skater glides away, then gently pulls back to end.",人物,运动体育,,,专业影视语言,"运镜,时间操控",英文,68,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0021.mp4
23,"Steadicam tracking shot beginning from a side medium angle, following a martial artist in black training clothes as he initiates his form in the training hall. The second shot cuts to a low-angle upward view capturing his spinning aerial kick with fabric billowing in the air resistance. The third shot is a frontal close-up slow motion freezing dust rising from the floor with his strike. The fourth shot finishes with a high-angle overhead panorama showing the entire training hall as he completes his stance.",人物,运动体育,打斗场景,,专业影视语言,"运镜,多镜头,时间操控",英文,84,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0022.mp4
24,"Shot 1 (Medium Shot)Under the dappled sunlight beneath the tree shade, four white-haired seniors sit around a square table. Each carries a distinct expression, with rows of mahjong tiles neatly arranged in front of them.
Shot 2 (Close-Up)A close-up shot focuses on the center of the mahjong table. Several wrinkled yet nimble hands quickly shuffle and draw tiles from the stack. Suddenly, an elderly man slaps down a ""Red Dragon"" tile with immense momentum and force.

Shot 3 (Medium Close-Up)The camera cuts to the face of an auntie sitting opposite. She pushes up her reading glasses and squints to examine the tiles in her hand. Her brow quickly unmixes and smooths out, giving way to a subtle, confident smile of victory.",人物,日常行为,多个体/群体画面,,分镜脚本,多镜头,英文,119,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0023.mp4
25,"A group of people are playing basketball on the school playground, and the game is very intense.",人物,运动体育,多个体/群体画面,,日常白话,,英文,17,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0024.mp4
26,周末的菜市场特别热闹。第一个镜头拍入口处人来人往的景象和悬挂的红色招牌；第二个镜头对准水果摊老板熟练称重装袋的过程；第三个镜头转到鱼摊，鱼在水里活蹦乱跳，老板正在抓鱼；第四个镜头拍一位阿姨在仔细挑选蔬菜，翻来覆去看；第五个镜头是结尾全景，各个摊位灯光明亮，十分热闹的市场氛围,"人物,动物",日常行为,多个体/群体画面,,分镜脚本,多镜头,中文,137,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0025.mp4
27,Quick-cut jump-cut montage of seven employees in different positions.,人物,日常行为,多个体/群体画面,,专业影视语言,多镜头,英文,9,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0026.mp4
28,一个一气呵成、如梦似幻的电影长镜头：画面在深夜雾气弥漫的海边开启。四周通过广角镜头呈现出轻微的拉伸畸变，海平线与岸边巨大的古老漂流木在画面边缘微微弯折，漫天飞舞的萤火虫在浓重的海雾中拉出一道道柔和弯曲的金色光影轮廓。镜头顺畅滑行，一位身穿白色流苏长裙的少女静静地伫立在潮湿的沙滩正中央，四周扭曲的光影与雾气仿佛形成了一个魔法漩涡，将她温柔地包裹。随着镜头推进，少女的身影愈发清晰，她神情安静、温柔，任由海风轻轻吹拂着白裙的下摆，几只萤火虫在她脸庞掠过，微光将她照亮。随后，一个极端的宏观特写捕捉了空气中被扭曲的海浪飞沫与萤火虫那弯曲的金色轨迹。镜头最终定格在少女的高清半身特写上：她嘴角带着一丝安静轻柔的微笑，清澈的眼眸里倒映着萤火虫的点点微光；此时，画面中心她的脸部极度清晰，而四周拉伸的雾气与漫天飞舞的流光则汇聚成一个柔和的梦幻星云，将她定格在这片神秘海岸的核心。,人物,,视觉特效,,专业影视语言,运镜,中文,384,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0027.mp4
29,"第一段镜头：
航拍俯瞰，盘山公路蜿蜒盘旋在峭壁之间，一抹红色沿着弯道疾驰而上，轮胎擦过路面卷起一阵灰尘，在山谷间拖出一条淡淡的白色尾迹。

第二段镜头：
低角度侧拍，红色跑车贴着弯心加速过弯，车身压低，轮胎咬住柏油路面发出尖锐的啸叫，碎石从路肩弹飞，护栏在一旁飞速掠过。

第三段镜头：
车内视角，方向盘急打，驾驶者指节收紧，转速表指针猛地跳升。窗外护栏和山崖快速后退，阳光与山影交替扫过仪表台，引擎的嘶吼填满整个座舱。

第四段镜头：
车尾跟拍，排气管喷出滚滚热浪，空气被灼得扭曲变形。前方隧道洞口迫近，跑车一头扎入黑暗，尾灯拉成两条红线，引擎轰鸣声渐渐被隧道吞没。

第五段镜头：
隧道另一端出口，画面从一片漆黑中等待。远处传来由弱渐强的引擎回响，红色跑车猛然冲出洞口，光线瞬间炸开，车身裹着速度掠过镜头，山风灌入隧道，卷起一地枯叶翻飞。",物体,日常行为,,刚体位移,分镜脚本,"运镜,多镜头",中文,371,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0028.mp4
30,镜头一采用电影感后拉轨道镜头缓缓驶入某汽车超级工厂内部，镜头二切至中景，一排排精密机械臂在慢速输送产线上有条不紊组装汽车底盘，镜头三推近特写，突出明亮洁净灯光下设备光亮的金属质感，镜头四拉远成大远景，展现向深处无限延伸、规整有序的宏大厂区空间，镜头五持续平稳向后拉远，以全景视角完整收纳整片井然有序的生产车间全貌。,"物体,人造空间",,材质质感,刚体位移,分镜脚本,"运镜,多镜头",中文,157,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0029.mp4
31,镜头自侧面低角度缓缓推入，特写捕捉厨师于纯白瓷盘上细致摆盘的画面，朦胧烛光衬在背景；随即切换宏观慢动作镜头，记录刀叉切分牛排的瞬间，清晰展露肉质纤维的饱满张力与缓缓流淌的红酒酱汁，再切近景聚焦酱汁浸润肌理的细腻质感，继而中景环绕完整呈现菜肴搭配层次，最终镜头缓缓抬升，以俯瞰视角完整收束整道菜肴充满美感的艺术摆盘布局。,"人物,物体",日常行为,材质质感,,专业影视语言,"运镜,多镜头,时间操控",中文,159,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0030.mp4
32,滑雪者在滑雪，他转弯时扬起大片雪雾，沿着山坡逐渐加速，镜头平稳地移动着。,人物,运动体育,,,日常白话,运镜,中文,36,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0031.mp4
33,一位唐朝新娘在婚礼前独自站在化妆镜前。镜头从镜中她微笑整理发饰的特写开始，缓慢推进。她拿起桌上的口红涂抹嘴唇，对着镜子满意地点头。,人物,精细操作,,,叙述性描述,运镜,中文,65,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0032.mp4
34,一名潜水员探索沉船，用手电筒照亮船体裂口。气泡从呼吸器上升，光束穿透黑暗水域照出悬浮的尘埃。他伸手触摸锈蚀的铁壁，一群小鱼从舷窗涌出。,人物,日常行为,,,日常白话,,中文,67,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0033.mp4
35,一群年轻人在阳台上围坐吃烧烤喝啤酒。一人站起举杯提议干杯，众人碰杯欢呼，啤酒泡沫溢出流到桌面。有人拿起吉他弹奏，其余人跟着节拍拍手哼唱。一个女孩站起来随音乐扭动，拉起旁边的人一起跳舞。突然烤架上的肉串冒出明火，负责烧烤的人手忙脚乱地翻动肉串，油脂滴落火焰蹿高。另一人端来一盘切好的西瓜分给大家。镜头拉远，隔壁阳台的邻居探出头来微笑观望，远处城市夜景灯光闪烁，天空中一架飞机的尾灯缓缓划过。,人物,"日常行为,社会互动",多个体/群体画面,,日常白话,运镜,中文,194,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0034.mp4
36,2D热血动漫风格，史诗般空战大片质感。动感低角度跟踪拍摄，贴近航母甲板，与第一架银色战机同步冲刺。随着机头拉升，镜头平滑切换为广角侧随视角，连贯捕捉蓝色和黑色战机依次从甲板弹射起飞。随后切至高空俯瞰并迅速俯冲，以第一人称飞行视角穿梭在三架保持紧密编队的战机之间。阳光在银、蓝、黑三种不同机身金属涂装上产生一致的真实折射光影与高光，物理动态极其真实，震撼的视觉张力。,物体,,风格化,刚体位移,专业影视语言,"运镜,多镜头",中文,182,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0035.mp4
37,在极简主义时装秀上，优雅的亚洲模特穿着再生亚麻和软木纤维制成的环保时装，稳步走在木质T台。背景是原始森林与流水的4K动态影像。镜头侧向跟拍，衣物叶脉纹理与背景叶片重合，自然光线洒在模特身上，以大地色系展现时尚与生态的共生美。,人物,表演艺术,材质质感,,专业影视语言,运镜,中文,112,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0036.mp4
38,"A handsome man stands atop a ridge enveloped in thin mist. He is clad in sleek, functional outdoor gear—a dark charcoal windbreaker jacket, professional hiking pants, and a backpack over his shoulders. A cool mountain breeze tousles his hair, complementing his calm and resolute expression. In the background, ethereal clouds and fog roll and drift among jagged rocks, occasionally parting to reveal a glimpse of majestic, snow-capped peaks in the distance.The camera slowly pushes in from behind him as he gazes into the cloud-filled abyss below. In the crisp, frigid air, his exhaled breath condenses into white mist, adding a subtle atmospheric detail. He turns slightly toward the camera, his sharp eyes filled with unyielding resilience.",人物,情绪表情,,,专业影视语言,运镜,英文,116,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0037.mp4
39,非洲大草原上，绿茵草地成了临时足球场。雄狮用前爪拨球带球推进，鬃毛飞扬；斑马加速滑行拦截，用头顶将球弹向空中。一只猎豹高速插上接住空中球突破防线，大象守门员伸出长鼻将球扑出。球弹向角落，一只鸵鸟用长腿勾回球传给狮子。长颈鹿裁判低头观察是否越位。狮子起脚射门，球擦着大象鼻尖飞入球门。合欢树下观战的猴群跳跃欢呼，鹦鹉群从树冠惊飞。草屑和尘土在奔跑中持续飞扬。,动物,,多个体/群体画面,动物运动,日常白话,,中文,178,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0038.mp4
40,电影级广角航拍镜头从峡谷深处快速上升掠过砂岩峰顶。一群野马在山脊线上奔跑扬起金色沙尘。一只秃鹰从镜头前俯冲追逐猎物。镜头切到山脚绿洲，一队骆驼商队正在涉水渡河。远处沙暴墙推进遮蔽落日。镜头切回山顶，风暴卷起沙尘与夕阳形成浓烈橙红色幕墙，野马群四散奔逃。,"动物,自然景观",,多个体/群体画面,动物运动,专业影视语言,"运镜,多镜头",中文,126,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0039.mp4
41,"史诗科幻电影质感，写实风格，8K超清。首先是特写跟踪镜头，宇航员的厚重靴子坚定地踏在铁锈红色的火星土壤上，留下一个清晰深刻的足迹。随后镜头缓缓上移，展现出广袤荒凉的火星地貌，在地平线远处，巨大的奥林帕斯山巍峨耸立。

镜头切至宇航员头盔内部的第一人称主观视角（POV），透过带有金色镀膜的弧形面罩眺望火星，背景伴随着清晰沉重的宇航服呼吸声。

再次切回外部全景视角，逆光下，宇航员将一面印有“地球团结标志”的旗帜庄严地插进红色的地表。阳光在宇航服上折射出强烈的高光，长阴影，极具历史厚重感。",人物,日常行为,画面构图,,专业影视语言,"运镜,多镜头",中文,245,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0040.mp4
42,"Aerial drone shot rising from street level through a bustling modern city. At street level, a street musician plays violin as pedestrians cross the intersection. The drone spirals upward past office workers visible through glass windows, some waving. As it clears the rooftops, the city transitions from golden hour to deep night in time-lapse: clouds race across the sky, traffic lights form rivers of red and white streaks, windows light up one by one. The drone then dive-bombs back down through a gap between buildings, weaving past illuminated billboards, and pulls up sharply to reveal the full skyline reflected in the river below.",人物,日常行为,画面构图,,专业影视语言,"运镜,时间操控",英文,103,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0041.mp4
43,"An expansive industrial factory floor bathed in the harsh, bright light of midday, where massive metal presses strike with rhythmic, unwavering certainty. Sunlight pierces through high-ceiling windows in distinct beams, illuminating floating dust motes and the oily sheen on the heavy iron machinery. Each press moves in a steady, repetitive vertical motion, stamping metal sheets on a weathered concrete floor with mechanical
precision.","物体,人造空间",,画面构图,刚体位移,日常白话,,英文,62,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0042.mp4
44,"Single continuous cinematic shot, no music. From outside the glass window, the dim camera slowly pushes inward into a pizza shop. A bearded white male employee is baking pizza. He removes the pizza from the oven with a metal tray, places it into a red takeaway box, closes the lid, then hands it to a customer with a warm smile. Final shot: over-the-shoulder perspective.",人物,社会互动,,,专业影视语言,运镜,英文,64,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0043.mp4
45,"At the Tokyo Tower, an intense mecha battle unfolds, captured through dynamic camera angles and motion lines. The sleek mecha is controlled by a 16-year-old pilot with determined eyes and spiky blue hair. The art style blends stylized character designs with realistic mechanical details, maintaining high-speed movement and complex action throughout the sequence.","人物,物体",,打斗场景,刚体位移,叙述性描述,运镜,英文,53,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0044.mp4
46,"A deep autumn courtyard covered in a carpet of golden fallen leaves. A large squirrel with a fluffy tail darts quickly through the leaves, then suddenly stops. It stands upright on its hind legs, holding a single red maple leaf in its front paws, examining it closely before tossing it into the air. The camera follows the trajectory of the falling leaf, tilting down slowly to focus on the squirrel's lively, darting black eyes and its long tail. The background features blurred red maple trees and faint, distant sounds of children laughing. The lighting is warm and bright.",动物,,,动物运动,叙述性描述,运镜,英文,98,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0045.mp4
47,"Fisheye lens, top lighting, warm colors. A group gathers around a circular hole in a white wall, peering down. A blond man in black opens a brown paper bag and pulls out a glowing orb that illuminates everyone's faces. A woman gasps and stumbles backward. Another man reaches to touch the orb but recoils as it pulses brighter. Cut to overhead shot looking down through the hole as the orb rises. Cut to extreme close-up of the blond man's wide eyes reflecting the light. The group scatters as the orb shoots upward through the hole.",人物,"日常行为,情绪表情",多个体/群体画面,,专业影视语言,多镜头,英文,95,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0046.mp4
